word_en,class_en,word_ru,class_ru,hypernym_en,hypernym_ru
squirrel,mammal,белкой,животное,,
stag,mammal,олень,животное,,
stag,mammal,оленя,животное,,
stag,mammal,оленю,животное,,
stag,mammal,оленем,животное,,
stag,mammal,олене,животное,,
swallow,bird,ласточка,животное,,
swallow,bird,ласточки,животное,,
swallow,bird,ласточке,животное,,
swallow,bird,ласточку,животное,,
swallow,bird,ласточкой,животное,,
swallows,bird,ласточки,животное,,
swallows,bird,ласточек,животное,,
swallows,bird,ласточкам,животное,,
swallows,bird,ласточками,животное,,
swan,bird,лебедь,животное,,
swan,bird,лебедя,животное,,
swan,bird,лебедю,животное,,
swan,bird,лебедем,животное,,
swan,bird,лебеде,животное,,
swans,bird,лебеди,животное,,
swans,bird,лебедей,животное,,
swans,bird,лебедям,животное,,
swans,bird,лебедями,животное,,
tapir,mammal,тапир,животное,,
tapir,mammal,тапира,животное,,
tapir,mammal,тапиру,животное,,
tapir,mammal,тапиром,животное,,
tapir,mammal,тапиры,животное,,
tapir,mammal,тапиров,животное,,
tiger,mammal,тигр,животное,,
tiger,mammal,тигра,животное,,
tiger,mammal,тигру,животное,,
tiger,mammal,тигром,животное,,
tiger,mammal,тигре,животное,,
toad,amphibian,жаба,животное,,
toad,amphibian,жабы,животное,,
toad,amphibian,жабе,животное,,
toad,amphibian,жабу,животное,,
toad,amphibian,жабой,животное,,
tortoise,reptile,черепаха,животное,,
tortoise,reptile,черепахи,животное,,
tortoise,reptile,черепахе,животное,,
tortoise,reptile,черепаху,животное,,
tortoise,reptile,черепахой,животное,,
trees,tree,деревья,дерево,,
trees,tree,деревьев,дерево,,
trees,tree,деревьям,дерево,,
trees,tree,деревьями,дерево,,
turtle,reptile,черепаха,животное,,
turtle,reptile,черепахи,животное,,
turtle,reptile,черепахе,животное,,
turtle,reptile,черепаху,животное,,
turtle,reptile,черепахой,животное,,
ungulate,mammal,копытное,животное,,
ungulate,mammal,копытного,животное,,
ungulate,mammal,копытному,животное,,
ungulate,mammal,копытным,животное,,
ungulate,mammal,копытные,животное,,
ungulate,mammal,копытных,животное,,
vine,plant,лоза,растение,,
vine,plant,лозы,растение,,
vine,plant,лозе,растение,,
vine,plant,лозу,растение,,
vine,plant,лозой,растение,,
vines,plant,лозы,растение,,
vines,plant,лоз,растение,,
vines,plant,лозам,растение,,
vines,plant,лозами,растение,,
vulture,bird,гриф,животное,,
vulture,bird,грифа,животное,,
vulture,bird,грифу,животное,,
vulture,bird,грифом,животное,,
vulture,bird,грифе,животное,,
vultures,bird,грифы,животное,,
vultures,bird,грифов,животное,,
vultures,bird,грифам,животное,,
vultures,bird,грифами,животное,,
wasp,insect,оса,животное,,
wasp,insect,осы,животное,,
wasp,insect,осе,животное,,
wasp,insect,осу,животное,,
wasp,insect,осой,животное,,
whale,mammal,кит,животное,,
whale,mammal,кита,животное,,
whale,mammal,киту,животное,,
whale,mammal,китом,животное,,
whale,mammal,ките,животное,,
wheat,plant,пшеница,растение,,
wheat,plant,пшеницы,растение,,
wheat,plant,пшенице,растение,,
wheat,plant,пшеницу,растение,,
wheat,plant,пшеницей,растение,,
wolf,mammal,волк,животное,,
wolf,mammal,волка,животное,,
wolf,mammal,волку,животное,,
wolf,mammal,волком,животное,,
wolf,mammal,волке,животное,,
wolverine,mammal,росомаха,животное,,
wolverine,mammal,росомахи,животное,,
wolverine,mammal,росомахе,животное,,
wolverine,mammal,росомаху,животное,,
wolverine,mammal,росомахой,животное,,
wolves,mammal,волки,животное,,
wolves,mammal,волков,животное,,
wolves,mammal,волкам,животное,,
wolves,mammal,волками,животное,,
woodpecker,bird,дятел,животное,,
woodpecker,bird,дятла,животное,,
woodpecker,bird,дятлу,животное,,
woodpecker,bird,дятлом,животное,,
woodpecker,bird,дятле,животное,,
worms,worm,черви,животное,,
worms,worm,червей,животное,,
worms,worm,червям,животное,,
worms,worm,червями,животное,,
young,animal,детёныш,животное,,
young,animal,детёныша,животное,,
young,animal,детёнышу,животное,,
young,animal,детёнышем,животное,,
young,animal,детёныши,животное,,
young,animal,детёнышей,животное,,
,,паукообразного,,,животное
,,амфибии,,,животное
,,птицы,,,животное
,,амфибией,,,животное
,,насекомые,,,животное
,,птицу,,,животное
,,амфибия,,,животное
,,рыба,,,животное
,,рыбу,,,животное
,,рыбы,,,животное
,,насекомого,,,животное
,,птиц,,,животное
,,рыбой,,,животное
,,млекопитающего,,,животное
,,рептилия,,,животное
,,червь,,,животное
,,птицей,,,животное
,,насекомых,,,животное
,,паукообразное,,,животное
,,птице,,,животное
,,моллюски,,,животное
,,птица,,,животное
,,амфибию,,,животное
,,млекопитающим,,,животное
,,рыбе,,,животное
,,паукообразных,,,животное
,,рыб,,,животное
,,рептилией,,,животное
,,насекомому,,,животное
,,млекопитающее,,,животное
,,ракообразное,,,животное
,,моллюск,,,животное
,,млекопитающему,,,животное
,,рептилии,,,животное
,,рептилию,,,животное
,,рептилиями,,,животное
,,моллюска,,,животное
,,насекомое,,,животное
